paper,year,month,title,outlet
w0128,1976,3,A Note on Optimal Smoothing for Time Varying Coefficient Problems,2
w0129,1976,3,A Survey of Recent Research in Health Economics,2
w0130,1976,3,Rosepack Document 3: Guidelines for Writing Semi-Portable Fortran,NA
w0131,1976,3,Exports and Foreign Investment in Manufacturing Industries,2
w0132,1976,4,"Health, Family Structure, and Labor Supply",1
w0133,1976,4,Toward a More General Theory of Regulation,2
w0134,1979,4,The Demand for Pediatric Care: An Hedonic Approach,1
w0135,1976,4,"Taxation, Saving and the Rate of Interest",1
w0136,1976,6,"Price Behavior in Primary Manufacturing Industries, 1958-1973",NA
w0137,1976,5,"Leisure, Home Production and Work--The Theory of The Allocation of Time Revisited",1
w0138,1976,5,"Experience, Vintage and Time Effects in the Growth of Earnings: American Scientists, 1960-1970",1
w0139,1976,5,Treatment Decision-Making in Catastrophic Illness,2
w0140,1976,6,A Multiplicative Model of Investment in Human Capital,1
w0141,1980,10,Family Background and Optimal Schooling Decision,2
w0142,1976,7,Estimation of Econometric Model Using Nonlinear Full Information Maximum Likelihood: Preliminary Computer Results,NA
w0143,1976,8,The Distribution of Earnings Profiles in Longitudinal Data,3
w0144,1976,8,Optimal Income Redistribution When Individual Welfare Depends Upon Relative Income,1
w0145,1976,8,Intergenerational Externalities,2
w0146,1976,8,Legal Precedent: A Theoretical and Empirical Analysis,2
w0147,1976,8,Factors Affecting Divorce: A Study of the Terman Sample,3
w0148,1976,8,Who is the Family's Main Breadwinner? The Wife's Contribution to Full Income,2
w0149,1976,9,"Age, Education and Occupational Earnings Inequality",2
w0150,1976,9,Dynamic Aspects of Earnings Mobility,1
w0151,1976,10,Some Lessons from the New Public Finance,2
w0152,1976,10,Optimal Tax Theory: Econometric Evidence and Tax Policy,3
w0153,1976,10,Economics of Marital Instability,1
w0154,1976,10,Multicollinearity: Diagnosing its Presence and Assessing the Potential Damage It Causes Least Squares Estimation,NA
w0155,1976,11,Foreign Competition and the UK,NA
w0157,1976,11,Efficient Estimation of a Dynamic Error-Shock Model,2
w0158,1976,12,The Market for Lawyers: The Determinants of the Demand for and Supply of Lawyers,2
w0159,1976,12,A Conic Algorithm for the Group Minimization Problem,NA
w0160,1977,1,Misintermediation and Business Fluctuation,2
w0161,1977,1,Middle-Age Job Mobility: Its Determinants and Consequences,3
w0162,1977,1,"Labor Quality, the Demand for Skill, and Market Selection",2
w0163,1977,1,The Gains and Losses From Industrial Concentration,2
w0164,1977,1,Alternative Trade Strategies and Employment - Plan of Research for Country Studies,1
w0165,1977,2,Rosepack Document 4: Rank Degeneracies and Least Square Problems,NA
w0166,1977,3,Industrial Demand for Energy,NA
w0167,1977,3,Money And Income Causality Detection,2
w0168,1977,3,Wage Differentials Are Larger Than You Think,1
w0169,1977,3,Solving Systems of Non-Linear Equations by Broyden's Method with Projected Updates,NA
w0170,1977,3,The Austrian Theory of the Marginal Use And of Ordinal Marginal Utility,2
w0171,1977,3,The Effect of Minimum Wage Legislation on Income Equality: A Theoretical Analysis,2
w0172,1977,3,Sample Selection Bias As a Specification Error (with an Application to the Estimation of Labor Supply Functions),1
w0173,1977,3,Linear Regression Diagnostics,NA
w0174,1977,4,Educational Screening and Occupational Earnings,NA
w0175,1977,7,Some Convergence Properties of Broyden's Method,2
w0176,1977,5,Export and Domestic Prices Under Inflation and Exchange Rate Movements,1
w0177,1977,5,Dummy Endogenous Variables in a Simultaneous Equation System,1
w0178,1980,4,"Investors' Portfolio Behavior Under Alternative Models of Long-Term Interest Rate Expectations: Unitary, Rational, or Autoregressive",1
w0179,1977,4,Identifying Identical Distributed Lag Structures by the Use of Prior Sum Constraints,2
w0180,1977,5,An Economic Analysis of Children's Health and Intellectual Development,NA
w0181,1977,6,Price Behavior in the Light of Balance of Payments Theories,2
w0182,1977,7,Export Prices and Exchange Rates,1
w0183,1977,6,The Government's Impact on the Labor Market Status of Black Americans: A Critical Review,NA
w0184,1977,7,A Theory of the Production and Allocation of Effort,2
w0185,1977,7,Estimation of Permanent and Transitory Response Functions in Panels Data: A Dynamic Labor Supply Model,2
w0186,1980,1,Do Private Pensions Increase National Saving?,2
w0187,1977,7,A Model of Social Security and Retirement Decisions,2
w0188,1977,7,Notes on the Public Debt and Social Insurance,NA
w0189,1977,7,A System of Subroutines For Iteratively Reweighted Least Squares Computations,2
w0190,1977,8,"The Pacific Basin in World Trade: Part I, Current Price Trade Matrices, 1948-1975",NA
w0191,1977,8,"The Pacific Basin in World Trade: Part II, Constant-Price Trade Matrices, 1955-1975",NA
w0192,1977,8,"The Pacific Basin in World Trade: Part III, An Analysis of Changing Trade Patterns, 1955-1975",2
w0193,1980,11,The Optimal Taxation of Foreign Source Investment Income,1
w0194,1977,8,Cost-Benefit Analysis Under Uncertainty,1
w0195,1977,8,Finding Leverage Groups,NA
w0196,1977,8,An Adaptive Nonlinear Least Square Algorithm,2
w0197,1977,8,An Agricultural Time Series-Cross Section Data Set,NA
w0198,1980,4,The Economics of Migration: An Empirical Analysis with Special Referenceto the Role of Job Mobility,1
w0199,1977,8,Family Migration Decisions,1
w0200,1977,8,Share-Tenancy and Family Size in the Brazilian Northeast,NA
w0201,1977,9,The Welfare Cost of Permanent Inflation and Optimal Short-Run Economic Policy,1
w0202,1977,9,Two Papers on the Recent Rise in U.S. Divorce Rate,2
w0203,1977,9,"Taxation, Inflation, and Monetary Policy",NA
w0204,1977,9,The Effect of Social Security on Early Retirement,2
w0205,1981,1,Structural Models of Interest Rate Determination and Portfolio Behavior in the Corporate and Government Bond Markets,2
w0206,1980,5,Social Security and Household Wealth Accumulation: New Microeconomic Evidence,2
w0207,1977,10,Local Government Budgeting: The Econometric Comparison of Political and Bureaucratic Models,NA
w0208,1977,10,An Economic Theory of Self-Control,1
w0209,1977,10,"Bank Capital Adequacy, Deposit Insurance and Security Values, Part I",2
w0210,1977,10,"An Economic Study of U.S. Aircraft Hijacking, 1960-1976",2
w0211,1977,11,The Service Industries and U.S. Economic Growth Since World War II,3
w0212,1977,11,Social Security Wealth: The Impact of Alternative Inflation Adjustments,3
w0213,1980,8,The Relationship Between Children's Health and Intellectual Development,3
w0214,1977,11,"Aspects of Optimal Unemployment Insurance: Search, Leisure and Capital Market Imperfections",2
w0215,1977,11,Mitigating Demographic Risk Through Social Insurance,3
w0216,1977,11,An Evaluation of the Role of Factor Markets and Intensities in the Social Security Crisis: A Progress Report,NA
w0217,1977,11,Altruism in Law and Economics,2
w0218,1977,12,Heterogeneous-Expectations Model of the Value of Bonds Bearing Call Options,NA
w0219,1977,12,The Choice of Diet for Young Children and Its Relation to Children's Growth,2
w0220,1977,12,Occupational Licensing and the Inter-State Mobility of Professionals,2
w0221,1977,12,Taxation and Aggregate Factor Supply: Preliminary Estimates,2
w0222,1977,12,The Cumulative Unanticipated Change in Interest Rates: Evidence on the Misintermediation Hypothesis,NA
w0223,1977,12,The Private and Social Costs of Unemployment,1
w0224,1978,1,The Earnings Function: A Glimpse Inside the Black Box,NA
w0225,1977,12,Job Satisfaction as an Economic Variable,1
w0226,1977,12,Fluctuation in Equilibrium Unemployment,1
w0227,1978,1,"Salvors, Finders, Good Samaritans and Other Rescuers: An Economic Study of Law and Altruism",2
w0228,1978,1,Estimating the Family Labor Supply Functions Derived from the Stone-Geary Utility Function,NA
w0229,1978,1,On the Accuracy and Properties of Recent Macroeconomic Forecasts,1
w0230,1981,1,Family Size and the Distribution of Per Capita Income,1
w0231,1978,1,Who Puts the Inflation Premium Into Nominal Interests Rates?,2
w0232,1979,1,"Inflation, Tax Rules, and the Long Term Interest Rates",2
w0233,1978,2,Job Mobility and Earnings Over the Life Cycle,2
w0234,1978,2,Inflation and the Excess Taxation of Capital Gains on Corporate Stock,2
w0235,1978,3,"Price Inflation, Portfolio Choice, and Nominal Interest Rates",1
w0236,1978,3,The Supply of Surgeons and the Demand for Operations,2
w0237,1978,3,Interest Rate Risk and Capital Adequacy For Traditional Banks and Financial Intermediaries,3
w0238,1978,3,Price Behavior in the Manufacturing Sector for Sixteen Industries Classified by Stage-of-Process,NA
w0239,1980,5,The Effect of Shifting Wealth Ownership on the Term Structure of Interest Rates,1
w0240,1979,4,Determinants of Pediatric Care Utilization,3
w0241,1980,11,"Personal Taxation, Portfolio Choice and The Effect of the Corporation Income Tax",1
w0242,1980,11,"The Exit-Voice Tradeoff in the Labor Market: Unionism, Job Tenure, Quits",1
w0243,1980,5,Taxation and Corporate Financial Policy,1
w0244,1978,5,Forecasting with the Index of Leading Indicators,NA
w0245,1978,5,The Propagation of Prices in the Oil Industry,NA
w0246,1978,5,Causation Among Socioeconomic Time-Series,NA
w0247,1978,5,Perspective on Bank Capital Adequacy: Time-Series Analysis,NA
w0248,1978,10,Unionism and the Dispersion of Wages,2
w0249,1978,6,Education and Self-Selection,1
w0250,1981,3,The Effects of Taxation on the Selling of Corporate Stock and the Realization of Capital Gains,1
w0251,1978,7,A Theory of the Natural Unemployment Rate and the Duration of Employment,2
w0252,1978,7,The Nature and Measurement of Unemployment,NA
w0253,1978,7,Inflation and the Choice of Asset Life,1
w0254,1980,4,Wealth Maximization and the Cost of Capital,1
w0255,1980,1,Share Valuation and Corporate Equity Policy,2
w0256,1978,7,Children's Health and the Family,3
w0257,1978,7,The Lock-In Effect of the Capital Gains Tax: Some Time Series Evidence,2
w0258,1978,7,Imported Inflation 1973-74 and the Accommodation Issue,2
w0259,1978,7,"Inventory Fluctuations, Temporary Layoffs and the Business Cycle",NA
w0260,1978,7,The Effect of Social Security on Retirement,1
w0261,1980,12,Survey Evidence on The Rationality of Interest Rate Expectations,2
w0262,1980,6,Changes in Household Living Arrangements 1950-76,2
w0263,1978,7,Adjudication as a Private Good,2
w0264,1978,7,The Pricing of Short-Lived Options When Price Uncertainty Is Log-Symmetric Stable,2
w0265,1978,7,The Fundamental Determinants of Risk In Banking,2
w0266,1978,7,Interest Rate Risk and the Regulation of Financial Institutions,2
w0267,1978,7,Interest Rate Changes and Commercial Bank Revenues and Costs,2
w0268,1978,7,Calculating the Present Value of An Asset's Future Cash Flows,NA
w0269,1978,7,Tax Neutrality and the Investment Tax Credit,3
w0270,1978,7,Explaining Movements in Completed Fertility Across Cohorts,NA
w0271,1978,7,Male Wage Rates and Marital Status,NA
w0272,1978,8,"The Social Security Earnings Test, Labor Supply Distortions, and Foregone Payroll Tax Revenues",2
w0273,1978,8,New Estimates of the Industrial Locus of Unionism in the United States,2
w0274,1978,8,The Dynamics of Youth Unemployment,3
w0275,1978,8,"Fiscal Policies, Inflation and Capital Formation",1
w0276,1978,8,Inflation and the Stock Market,1
w0277,1978,8,Labor Force Transitions and Unemployment,NA
w0278,1980,12,"Experience, Performance, and Earnings",1
w0279,1981,10,The 1971-1974 Controls Program and The Price Level: An Econometric Post-Mortem,2
w0280,1978,9,A Fixed Effect Logit Model of the Impact Of Unionism on Quits,NA
w0281,1978,9,Disequilibrium Growth Theory: The Kaldor Model,2
w0282,1978,10,Black Economic Progress after 1964: Who Has Gained and Why?,3
w0283,1978,10,Temporary Income Taxes and Consumer Spending,1
w0284,1978,10,Crowding Out Or Crowding In? The Economic Consequences of Financing Government Deficits,2
w0285,1978,10,Wage Growth and Job Turnover: An Empirical Analysis,3
w0286,1978,10,On the Choice Between Property Rules and Liability Rules,2
w0287,1978,10,International Reserves Under Alternative Exchange Rate Regimes and Aspects of The Economics of Managed Float,2
w0288,1978,10,On Transactions and Precautionary Demand For Money,1
w0289,1978,10,Further Evidence On Expectations And The Demand for Money During the German Hyperinflation,2
w0290,1978,10,Exchange Rates in The 1920's: A Monetary Approach,3
w0291,1978,10,Economic Effects of The Firefighters' Union,2
w0292,1978,10,The Effect of Trade Unionism on Fringe Benefits,2
w0293,1978,10,Do Multinational Firms Adapt Factor Proportions To Relative Factor Prices?,3
w0294,1978,10,How Important is Disaggregation in Structural Models of Interest Rate Determination?,2
w0295,1978,10,Interest Rate Expectations Versus Forward Rates: Evidence From An Expectations Survey,2
w0296,1978,11,The Effect of Inflation on the Prices of Land And Gold,2
w0297,1978,11,A Model of Diffusion In the Production of an Innovation,1
w0298,1978,11,A Status Report on Tax Integration in the United States,2
w0299,1978,11,Labor Supply Estimates For Public Policy Evaluation,2
w0300,1978,11,Monetarist Interpretations of the Great Depression: An Evaluation and Critique,3
w0301,1978,11,Should We Organize? Effects of Faculty Unionism on Academic Compensation,NA
w0302,1978,11,Tax Policy in a Life Cycle Model,1
w0303,1978,11,Towards An Understanding of the Real Effects and Costs of Inflation,2
w0304,1978,12,The Changing Cyclical Behavior of Wages and Prices: 1890-1976,1
w0305,1978,12,The Percent Organized Wage (POW) Relationship for Union and for Nonunion Workers,2
w0306,1978,12,Efficient Wage Bargains Under Uncertain Supply and Demand,1
w0307,1978,12,Restriction of International Production: The Effects on the Domestic Economy,NA
w0308,1979,1,Income and Race Differences in Children's Health,2
w0309,1979,1,How Elastic is The Demand for Labor?,2
w0310,1979,1,Domestic Savings and International Capital Flows,2
w0311,1979,1,Monetary Policy Under Exchange Rate Flexibility,2
w0312,1979,1,Inflation and the Taxation of Capital Income in the Corporate Sector,2
w0313,1979,1,A Note on Stochastic Rationing Mechanisms,2
w0314,1979,2,The Effect of Social Security on Private Savings: The Time Series Evidence,2
w0315,1979,2,"An Empirical Analysis of the Fixed Coefficient 'Manpower Requirements' Model, 1960-1970",2
w0316,1979,2,The Effect of Demographic Factors on Age-Earnings Profiles,2
w0317,1979,2,International Aspects Of Dividend Relief,2
w0318,1979,2,"Information, Measurement, And Prediction In Economics",NA
w0319,1979,2,Applied Welfare Economics with Discrete Choice Models,1
w0320,1979,2,A State Price Index,NA
w0321,1979,2,The Efficient Level Of Public Library Services,3
w0322,1979,2,Non-Trivial Equilibrium in an Economy With Stochastic Rationing,NA
w0323,1979,3,Comparing Public Library Systems,3
w0324,1979,3,"Corporate Financial Policy, Taxes, and Uncertainty: An Integration",2
w0325,1979,3,Analysis of Covariance With Qualitative Data,1
w0326,1979,3,A Capital Market In an Equilibrium Business Cycle Model,1
w0327,1979,3,Sterling and the External Balance,3
w0328,1979,3,Public Libraries and Labor Markets,3
w0329,1979,3,Money Stock Revisions and Unanticipated Money Growth,1
w0330,1979,3,Unionization and Productivity: Microeconometric Evidence,1
w0331,1979,3,Corporate Supply of Index Bonds,3
w0332,1979,4,"Unionization, Management Adjustment and Productivity",2
w0333,1979,4,Vehicle Currencies And the Structure Of International Exchange,2
w0334,1979,4,The Effect of Social Security on Saving,2
w0335,1979,4,Feedback and the Use of Current Information: The Use of General Linear Policy Rules in Rational Expectations Models,1
w0336,1979,4,Analyzing the Accuracy of Foreign Exchange Advisory Services: Theory And Evidence,3
w0337,1980,3,Static and Dynamic Resource Allocation Effects of Corporate and Personal Tax Integration in the U.S.: A General Equilibrium Approach,1
w0338,1979,4,Private versus Public Enforcement of Fines,2
w0339,1979,4,Unanticipated Money and Economic Activity,3
w0340,1979,4,Macro-Economic Adjustment With Import Price Shocks: Real and Monetary Aspects,NA
w0341,1979,4,On Activist Monetary Policy With Rational Expectations,3
w0342,1979,5,High School Preparation and Early Labor Force Experience,3
w0343,1979,5,Coherency Conditions In Simultaneous Linear Equation Models With Endogenous Switching Regimes,1
w0344,1979,5,Aggregation Effects And Panel Data Estimation Problems: An Investigation of the R&D Intensity Decision,2
w0345,1979,5,A Note on the Derivation of Linear Homogeneous Asset Demand Functions,NA
w0346,1979,5,"The Rate of Obsolescence Of Knowledge, Research Gestation Lags, and the Private Rate of Return to Research Resources",3
w0347,1979,5,Technical Systems and Innovations in Public Libraries,3
w0348,1979,5,Can the Fed Control Real Interest Rates?,3
w0349,1979,5,The Incidence and Allocation Effects of a Tax on Corporate Distributions,2
w0350,1979,5,Measuring the Variance-Age Profile of Lifetime Income,1
w0351,1979,5,Social Security and Retirement: Evidence From the Canada Time Series,2
w0352,1979,5,Time Preference and International Lending and Borrowing in an Overlapping-Generations Model,1
w0353,1979,5,Estimating the Determinants of Employee Performance,2
w0354,1979,5,Optimal Inflation Policy,2
w0355,1979,5,International Differences in Social Security and Saving,2
w0356,1979,6,International Trade and Income Distribution: A Reconsideration,1
w0357,1979,6,Labor Mobility and Wages,3
w0358,1979,6,"The Structure of Production, Technological Change, and the Rate of Growth of Total Factor Productivity in the Bell System",3
w0359,1979,6,"Price Expectations, Foreign Exchange and Interest Rates, and Demand for Money in an Open Economy",2
w0360,1979,6,Contributions and Determinants of Research and Development Expenditures in the U.S. Manufacturing Industries,3
w0361,1979,6,New Evidence That Fully Anticipated Monetary Changes Influence Real Output After All,1
w0362,1979,6,The Family as an Incomplete Annuities Market,1
w0363,1979,6,Can Productive Capacity Differentials Really Explain Earnings Differentials Associated with Demographic Characteristics? Case of Experience,2
w0364,1979,6,The Two Faces of Unionism,2
w0365,1979,6,Why is There A Youth Labor Market Problem?,3
w0366,1979,6,The Determination of Long-Term Interest Rates: Implications for Monetary and Fiscal Policies,2
w0367,1979,6,Fixed and Flexible Rates: A Renewal of The Debate,2
w0368,1979,7,Optimal Tax Treatment of the Family: Married Couples,2
w0369,1979,7,"Energy Prices, Inflation, and Recession, 1974-1975",2
w0370,1979,7,"The Decline in Aggregate Share Values: Inflation, Taxation, Risk and Profitability",1
w0371,1979,7,"Sorting Models of Labor Mobility, Turnover, and Unemployment",NA
w0372,1979,7,The Old Age Security Hypothesis and Population Growth,NA
w0373,1979,7,Inflation Risk and Capital Market Equilibrium,2
w0374,1979,7,Colonial and Revolutionary Muster Rolls: Some New Evidence on Nutrition and Migration in Early America,2
w0375,1979,7,The Work and Wages of Single Women: 1870 to 1920,2
w0376,1979,8,Towards A Reconstruction of Keynesian Economics: Expectations and Constrained Equilibria,1
w0377,1979,8,Exchange Rates and Portfolio Balance,NA
w0378,1979,8,Labor Turnover and Youth Unemployment,3
w0379,1979,8,A Strategic Theory of Inflation,NA
w0380,1979,8,"The Canadian Dollar, 1971-76: An Exploratory Investigation of Short Run Movements",NA
w0381,1979,8,"Inventories, Rational Expectations, and the Business Cycle",2
w0382,1979,8,Supply vs. Demand Approaches to the Problem of Stagflation,2
w0383,1979,8,Inflation and the Benefits from Owner-Occupied Housing,2
w0384,1979,8,Time Series Changes in Youth Joblessness,3
w0385,1979,8,Labor Supply and Aggregate Fluctuations,2
w0386,1979,8,The Role of Prevailing Prices and Wages in the Efficient Organization of Markets,NA
w0387,1979,8,The Estimation of Labor Supply Over Kinked Budget Constraints: Some New Econometric Methodology,NA
w0388,1979,8,Notes on Optimal Wage Taxation and Uncertainty,2
w0389,1979,8,A Model of Trade and Exchange Rate Projections,NA
w0390,1979,8,A Model of Trade and Exchange Rate Projections: Equations and Parameters,NA
